time	WindVelX
1408.0	9.993
1409.0	9.534
1410.0	10.034
1411.0	9.357
1412.0	10.031
1413.0	10.098
1414.0	10.122
1415.0	10.277
1416.0	10.291
1417.0	9.82
1418.0	11.035
1419.0	10.8
1420.0	10.721
1421.0	10.745
1422.0	10.135
1423.0	10.014
1424.0	8.577
1425.0	8.06
1426.0	8.12
1427.0	8.206
1428.0	7.836
1429.0	8.262
1430.0	8.572
1431.0	10.154
1432.0	8.385
1433.0	7.587
1434.0	6.87
1435.0	7.631
1436.0	6.668
1437.0	6.559
1438.0	8.358
1439.0	8.94
1440.0	10.181
1441.0	10.806
1442.0	13.189
1443.0	13.108
1444.0	11.228
1445.0	10.743
1446.0	9.652
1447.0	10.313
1448.0	10.315
1449.0	9.84
1450.0	9.281
1451.0	9.814
1452.0	9.074
1453.0	8.228
1454.0	8.993
1455.0	8.833
1456.0	9.937
1457.0	9.451
1458.0	8.532
1459.0	9.028
1460.0	9.921
1461.0	9.239
1462.0	9.68
1463.0	9.716
1464.0	7.864
1465.0	8.466
1466.0	9.17
1467.0	8.987
1468.0	8.33
1469.0	8.626
1470.0	8.398
1471.0	9.67
1472.0	9.223
1473.0	9.322
1474.0	9.142
1475.0	8.66
1476.0	8.808
1477.0	9.832
1478.0	8.521
1479.0	7.703
1480.0	7.725
1481.0	9.196
1482.0	8.873
1483.0	10.491
1484.0	9.223
1485.0	9.808
1486.0	9.184
1487.0	8.663
1488.0	8.647
1489.0	8.538
1490.0	9.214
1491.0	11.602
1492.0	11.043
1493.0	9.337
1494.0	8.572
1495.0	10.325
1496.0	10.828
1497.0	11.611
1498.0	12.584
1499.0	12.171
1500.0	13.003
1501.0	11.877
1502.0	11.734
1503.0	12.924
1504.0	14.631
1505.0	14.87
1506.0	13.951
1507.0	13.803
1508.0	14.45
1509.0	14.653
1510.0	13.753
1511.0	13.708
1512.0	12.898
1513.0	11.792
1514.0	11.317
1515.0	11.456
1516.0	12.6
1517.0	11.829
1518.0	12.076
1519.0	12.031
1520.0	12.685
1521.0	12.243
1522.0	12.709
1523.0	13.94
1524.0	12.555
1525.0	13.109
1526.0	12.994
1527.0	13.059
1528.0	13.803
1529.0	12.733
1530.0	13.216
1531.0	13.913
1532.0	12.569
1533.0	13.06
1534.0	13.507
1535.0	12.582
1536.0	13.406
1537.0	14.459
1538.0	15.018
1539.0	14.474
1540.0	13.375
1541.0	12.952
1542.0	13.118
1543.0	11.399
1544.0	12.405
1545.0	11.898
1546.0	12.755
1547.0	12.172
1548.0	11.063
1549.0	11.522
1550.0	11.909
1551.0	9.884
1552.0	9.135
1553.0	10.4
1554.0	11.324
1555.0	11.593
1556.0	11.396
1557.0	13.754
1558.0	13.623
1559.0	13.15
1560.0	13.459
1561.0	13.603
1562.0	13.812
1563.0	13.803
1564.0	13.084
1565.0	11.938
1566.0	9.634
1567.0	10.277
1568.0	10.67
1569.0	11.741
1570.0	10.079
1571.0	9.69
1572.0	11.268
1573.0	11.191
1574.0	9.805
1575.0	11.23
1576.0	11.45
1577.0	11.725
1578.0	9.376
1579.0	9.117
1580.0	7.987
1581.0	8.807
1582.0	9.319
1583.0	9.096
